topic,paper_type,title,year,authors,citation_count,semantic_scholar_url,doi,doi_verification_status,manuscript_relevance_note
Community completeness and species pools,manuscript_relevant,Community Completeness: Linking Local and Dark Diversity within the Species Pool Concept,2013,"M. Pärtel, R. Szava-Kovats, M. Zobel",103,https://www.semanticscholar.org/paper/ad5e291154b3edb084f90c90f6f9c949aa4db79b,10.1007/s12224-013-9169-x,crossref_title_match,Supports intro framing for Community completeness and species pools
Community completeness and species pools,manuscript_relevant,Estimating dark diversity and species pools: an empirical assessment of two methods,2016,"Rob J. Lewis, R. Szava-Kovats, M. Pärtel",87,https://www.semanticscholar.org/paper/938aa6c9d922ab798b428cc1fdda077265041772,10.1111/2041-210x.12443,crossref_title_match,Supports intro framing for Community completeness and species pools
Community completeness and species pools,manuscript_relevant,Historical biome distribution and recent human disturbance shape the diversity of arbuscular mycorrhizal fungi.,2017,"M. Pärtel, M. Öpik, M. Moora, L. Tedersoo, R. Szava-Kovats",74,https://www.semanticscholar.org/paper/17d3f2390e7f343e881c6071c608659586054d37,10.1111/nph.14695,crossref_title_match,Supports intro framing for Community completeness and species pools
Community completeness and species pools,canonical_or_foundational,Co‐occurrence based assessment of species habitat specialization is affected by the size of species pool: reply to Fridley et al. (2007),2009,D. Zelený,43,https://www.semanticscholar.org/paper/58b8f30350bea32ddbba0f8af7226dedd7b4f6fe,10.1111/j.1365-2745.2008.01394.x,crossref_top_hit,Supports intro framing for Community completeness and species pools
Compositional-data/network-analysis cautions,manuscript_relevant,Mapping the microbial interactome: Statistical and experimental approaches for microbiome network inference,2019,"Anders B. Dohlman, Xiling Shen",44,https://www.semanticscholar.org/paper/bbcc50de5aa45fb644dafb7a8a9bb8df352204a2,10.1177/1535370219836771,crossref_title_match,Supports intro framing for Compositional-data/network-analysis cautions
Compositional-data/network-analysis cautions,recent_synthesis_or_review,Deep learning in microbiome analysis: a comprehensive review of neural network models,2025,"Piotr Przymus, Krzysztof Rykaczewski, A. Martín-Segura, J. Truu, E. Carrillo de Santa Pau",40,https://www.semanticscholar.org/paper/62af01f37ab12b2a3b80c3914ce4cf82a8aa2d96,10.3389/fmicb.2024.1516667,crossref_title_match,Supports intro framing for Compositional-data/network-analysis cautions
Compositional-data/network-analysis cautions,manuscript_relevant,Microbial co-occurrence network and its key microorganisms in soil with permanent application of composted tannery sludge.,2021,"Caroline Kie Ishimoto, A. Aono, J. Nagai, H. Sousa, A. Miranda",34,https://www.semanticscholar.org/paper/03808ed84c182bb62fef4810651753e3ddc17641,10.1016/j.scitotenv.2021.147945,crossref_title_match,Supports intro framing for Compositional-data/network-analysis cautions
Compositional-data/network-analysis cautions,manuscript_relevant,ggClusterNet 2: An R package for microbial co‐occurrence networks and associated indicator correlation patterns,2025,"Tao Wen, Yongxin Liu, Lanlan Liu, Guoqing Niu, Zhexu Ding",28,https://www.semanticscholar.org/paper/5dcfd37e6c2c4ff2524e47d8e3ba9d6207514923,10.1002/imt2.70041,crossref_title_match,Supports intro framing for Compositional-data/network-analysis cautions
Dark diversity theory,canonical_or_foundational,Dark diversity: shedding light on absent species.,2011,"M. Pärtel, R. Szava-Kovats, M. Zobel",368,https://www.semanticscholar.org/paper/7aca9e7b37f6a61e65dcfa125c42427efa2fadab,10.1016/j.tree.2010.12.004,crossref_title_match,Supports intro framing for Dark diversity theory
Dark diversity theory,manuscript_relevant,Estimating probabilistic site‐specific species pools and dark diversity from co‐occurrence data,2020,C. P. Carmona; M. Pärtel,58,https://www.semanticscholar.org/paper/d08748b0a2150a22311f98978633c99608d009e5,10.1111/geb.13203,crossref_title_match,Imported canonical/reference candidate from prior manuscript citation inventory.
Dark diversity theory,manuscript_relevant,Global impoverishment of natural vegetation revealed by dark diversity,2025,"Meelis Pärtel, Riin Tamme, C. P. Carmona, Kersti Riibak, M. Moora",31,https://www.semanticscholar.org/paper/3c126e3f14a48d2875ff7a66ab84b2594c967cba,10.1038/s41586-025-08814-5,crossref_title_match,Supports intro framing for Dark diversity theory
Dark diversity theory,manuscript_relevant,DarkDivNet – A global research collaboration to explore the dark diversity of plant communities,2019,"M. Pärtel, C. P. Carmona, M. Zobel, M. Moora, Kersti Riibak",18,https://www.semanticscholar.org/paper/f8183399a65a4e1bdf7b1985359b62e388bde4a4,10.1111/jvs.12798,crossref_title_match,Supports intro framing for Dark diversity theory
Dark diversity theory,manuscript_relevant,Observed and dark diversity of plants’ life-forms are driven by climate and human impacts in a tropical dry forest,2024,"Magno Daniel de Oliveira Gonçalves-Araújo, Carlos Eduardo de Carvalho, Pedro Pequeno, D. Trindade, F. Hughes",8,https://www.semanticscholar.org/paper/6fa63b2383ca441fbd86d275de7acb811acda048,10.1007/s10531-023-02771-z,crossref_title_match,Supports intro framing for Dark diversity theory
Deterministic vs stochastic community assembly,canonical_or_foundational,Microbial interactions from networks: from models to descriptions,2012,J. Faust; J. Raes,3102,https://www.semanticscholar.org/paper/6b0f343f0f3ea1f6f8b5f0406f17d2788e19a1f1,10.1038/nrmicro2832,crossref_top_hit,Imported canonical/reference candidate from prior manuscript citation inventory.
Deterministic vs stochastic community assembly,canonical_or_foundational,Quantifying community assembly processes and identifying features that impose them,2013,J. Stegen; Xueju Lin; J. Fredrickson; Xingyuan Chen; D. Kennedy,2027,https://www.semanticscholar.org/paper/2b1ae271fd6690fd1215fbe21477c267114b8fa2,10.1038/ismej.2013.93,crossref_title_match,Imported canonical/reference candidate from prior manuscript citation inventory.
Deterministic vs stochastic community assembly,canonical_or_foundational,Patterns and Processes of Microbial Community Assembly,2013,"D. Nemergut, S. K. Schmidt, T. Fukami, S. O’Neill, T. Bilinski",1547,https://www.semanticscholar.org/paper/671626d90886405674a5d17ebca798b81459ec93,10.1128/mmbr.00051-12,crossref_title_match,Supports intro framing for Deterministic vs stochastic community assembly
Deterministic vs stochastic community assembly,manuscript_relevant,Incorporating phylogenetic metrics to microbial co‐occurrence networks based on amplicon sequences to discern community assembly processes,2019,M. Goberna; A. Montesinos‐Navarro; A. Valiente‐Banuet; Y. Colin; Alicia Gómez-Fernández,61,https://www.semanticscholar.org/paper/f414048ae3d999c2db5f59b842668c851c9fac78,10.1111/1755-0998.13079,crossref_title_match,Imported canonical/reference candidate from prior manuscript citation inventory.
Deterministic vs stochastic community assembly,manuscript_relevant,"Implications of Soil Microbial Community Assembly for Ecosystem Restoration: Patterns, Process, and Potential",2023,"E. Graham, J. Knelman",58,https://www.semanticscholar.org/paper/b83f205c026d7456ebcc44360acda52e901dcab4,10.1007/s00248-022-02155-w,crossref_title_match,Supports intro framing for Deterministic vs stochastic community assembly
Deterministic vs stochastic community assembly,manuscript_relevant,Relative Importance of Deterministic and Stochastic Processes on Soil Microbial Community Assembly in Temperate Grasslands,2021,"Nana Liu, Huifeng Hu, Wenhong Ma, Ye Deng, Qinggang Wang",51,https://www.semanticscholar.org/paper/739791f04cefc38e2b673f582e6acd3568a85ca5,10.3390/microorganisms9091929,crossref_title_match,Supports intro framing for Deterministic vs stochastic community assembly
Deterministic vs stochastic community assembly,recent_synthesis_or_review,"Peer Review #1 of ""Deterministic processes dominate soil microbial community assembly in subalpine coniferous forests on the Loess Plateau (v0.1)""",2019,,0,https://www.semanticscholar.org/paper/de967c675e34f3f241f3d168d00fa48e04cb6c66,10.7717/peerj.6746,crossref_title_match,Supports intro framing for Deterministic vs stochastic community assembly
Environmental filtering of microbial communities,manuscript_relevant,Linking bacterial community composition to soil salinity along environmental gradients,2018,"Kristin M. Rath, N. Fierer, D. Murphy, J. Rousk",422,https://www.semanticscholar.org/paper/d00c46b5c0a95da3cc3b45fb2d1995dfec68ecdf,10.1038/s41396-018-0313-8,crossref_title_match,Supports intro framing for Environmental filtering of microbial communities
Environmental filtering of microbial communities,manuscript_relevant,Temperature and soil moisture control microbial community composition in an arctic–alpine ecosystem along elevational and micro-topographic gradients,2019,"K. Frindte, Roland Pape, K. Werner, J. Löffler, C. Knief",154,https://www.semanticscholar.org/paper/b17c83704c26e4eaa0078adde623f12fdb7c8121,10.1038/s41396-019-0409-9,crossref_title_match,Supports intro framing for Environmental filtering of microbial communities
Environmental filtering of microbial communities,canonical_or_foundational,Using landscape and depth gradients to decouple the impact of correlated environmental variables on soil microbial community composition,2007,"V. Allison, Zhanna Yermakov, R. Miller, J. Jastrow, R. Matamala",137,https://www.semanticscholar.org/paper/5f65476397541f438e036873787387b8c486d63b,10.1016/j.soilbio.2006.08.021,crossref_title_match,Supports intro framing for Environmental filtering of microbial communities
Environmental filtering of microbial communities,recent_synthesis_or_review,"Biochar-derived dissolved organic matter (BDOM) and its influence on soil microbial community composition, function, and activity: A review",2023,"Muhammad Azeem, T. Sun, P. G. Jeyasundar, Ruixia Han, Hui Li",62,https://www.semanticscholar.org/paper/7cbfe3998d8bc06e3dd294fcb60b0bb4d4078438,10.1080/10643389.2023.2190333,crossref_title_match,Supports intro framing for Environmental filtering of microbial communities
Soil microbial cross-domain coupling,manuscript_relevant,Warming reshaped the microbial hierarchical interactions,2021,Yuqi Zhou; Baoyu Sun; B. Xie; Kai Feng; Zhaojing Zhang,161,https://www.semanticscholar.org/paper/d1eb20c8a4f7a6487b380b9ee28363cfe2ff1ead,10.1111/gcb.15891,crossref_title_match,Imported canonical/reference candidate from prior manuscript citation inventory.
Soil microbial cross-domain coupling,manuscript_relevant,"Responses of soil microbial diversity, network complexity and multifunctionality to three land-use changes.",2022,"Yi Yang, Yabo Chai, H. Xie, Lu Zhang, Zhiming Zhang",104,https://www.semanticscholar.org/paper/b850afa7c259bbc7948dea52e1f2e1e7df4e1ae7,10.1016/j.scitotenv.2022.160255,crossref_title_match,Supports intro framing for Soil microbial cross-domain coupling
Soil microbial cross-domain coupling,manuscript_relevant,Microplastics Trigger Soil Dissolved Organic Carbon and Nutrient Turnover by Strengthening Microbial Network Connectivity and Cross-Trophic Interactions.,2025,"Shenghan Gao, Yunbo Fu, Xinyi Peng, Silin Ma, Yurong Liu",46,https://www.semanticscholar.org/paper/fc6f06cdde388e3493cd9447e6ece5ab68e0d771,10.1021/acs.est.4c12546,crossref_title_match,Supports intro framing for Soil microbial cross-domain coupling
Soil microbial cross-domain coupling,manuscript_relevant,A Single Application of Compost Can Leave Lasting Impacts on Soil Microbial Community Structure and Alter Cross-Domain Interaction Networks,2022,"Steven Heisey, R. Ryals, T. Maaz, Nhu H. Nguyen",44,https://www.semanticscholar.org/paper/c8c09e6d969c82963bf2d7573c168fd9b972fa3f,10.3389/fsoil.2022.749212,crossref_title_match,Supports intro framing for Soil microbial cross-domain coupling
Soil microbial cross-domain coupling,manuscript_relevant,Water masses and their associated temperature and cross-domain biotic factors co-shape upwelling microbial communities.,2022,"Ping Sun, Ying Wang, Xin Huang, Bangqin Huang, Lei Wang",41,https://www.semanticscholar.org/paper/d2e5735f9f5c491cc2070a70a48b2fe4ace187a0,10.1016/j.watres.2022.118274,crossref_title_match,Supports intro framing for Soil microbial cross-domain coupling
Soil microbial cross-domain coupling,manuscript_relevant,Stronger responses of soil protistan communities to legacy mercury pollution than bacterial and fungal communities in agricultural systems,2022,Shuai Du; Xin-Qi Li; X. Hao; Hangwei Hu; Jiao Feng,33,https://www.semanticscholar.org/paper/8cc605f34ca4893c115973d77f625074977483a4,10.1038/s43705-022-00156-x,crossref_title_match,Imported canonical/reference candidate from prior manuscript citation inventory.
Soil pH as a global microbial driver,canonical_or_foundational,The diversity and biogeography of soil bacterial communities.,2006,N. Fierer; R. B. Jackson,5221,https://www.semanticscholar.org/paper/84dfd525de87ba9cb287c86036418ee90cb0ffd3,10.1007/978-3-031-21079-2_1,crossref_title_match,Imported canonical/reference candidate from prior manuscript citation inventory.
Soil pH as a global microbial driver,canonical_or_foundational,Soil bacterial and fungal communities across a pH gradient in an arable soil,2010,J. Rousk; J. Rousk; E. Bååth; P. Brookes; C. Lauber,3818,https://www.semanticscholar.org/paper/35f64f3c7185ea8a988b065fbf2cd0bf48996cb5,10.1038/ismej.2010.58,crossref_title_match,Imported canonical/reference candidate from prior manuscript citation inventory.
Soil pH as a global microbial driver,canonical_or_foundational,Pyrosequencing-Based Assessment of Soil pH as a Predictor of Soil Bacterial Community Structure at the Continental Scale,2009,C. Lauber; M. Hamady; R. Knight; N. Fierer,3585,https://www.semanticscholar.org/paper/4ffe1329ca7bd34d1efdb19eaf49f500e138574d,10.1128/aem.00335-09,crossref_title_match,Imported canonical/reference candidate from prior manuscript citation inventory.
Soil pH as a global microbial driver,canonical_or_foundational,Niche specialization of terrestrial archaeal ammonia oxidizers,2011,"C. Gubry-Rangin, B. Hai, C. Quince, M. Engel, B. Thomson",424,https://www.semanticscholar.org/paper/6214e21e81b8609b8a20e621c041107b2c6c04b2,10.1073/pnas.1109000108,crossref_title_match,Supports intro framing for Soil pH as a global microbial driver
Soil pH as a global microbial driver,manuscript_relevant,Effects of 7 years experimental warming on soil bacterial and fungal community structure in the Northern Tibet alpine meadow at three elevations.,2019,"Cheng-qun Yu, F. Han, Gang Fu",107,https://www.semanticscholar.org/paper/a248eb8d403bc34b083e63843e3c0e2c659f7bd2,10.1016/j.scitotenv.2018.11.309,crossref_title_match,Supports intro framing for Soil pH as a global microbial driver
Soil pH as a global microbial driver,manuscript_relevant,"Does conversion from natural forest to plantation affect fungal and bacterial biodiversity, community structure, and co-occurrence networks in the organic horizon and mineral soil?",2019,"Masataka Nakayama, Shihomi Imamura, T. Taniguchi, R. Tateno",97,https://www.semanticscholar.org/paper/8ea7c5f3abb2ca97ad83ffcabc5d460388a5d6a6,10.1016/j.foreco.2019.05.042,crossref_title_match,Supports intro framing for Soil pH as a global microbial driver
Soil pH as a global microbial driver,manuscript_relevant,Biogeographical patterns in soil bacterial communities across the Arctic region,2019,"Lucie A. Malard, M. Z. Anwar, C. Jacobsen, D. Pearce",77,https://www.semanticscholar.org/paper/f247de5fb0146b5f2e51912da2055b63d89b0453,10.1093/femsec/fiz128,crossref_title_match,Supports intro framing for Soil pH as a global microbial driver
