section,sentence_id,sentence,citation_class,needs_citation,has_existing_citation,query,selected_ref_ids,proposed_intext_citation,support_status
Introduction,INT_020,"Soil pH also affects nutrient availability, enzyme activity, and microbial physiology, creating constraints that extend across multiple microbial groups.",B,yes,no,soil also affects nutrient availability enzyme activity,REF031; REF032,"(Jin et al., 2024) (Santiago et al., 2019)",supported
Introduction,INT_021,"Other environmental factors, including nutrient availability and climate, can further structure microbial communities and contribute to coordinated turnover among domains.",B,yes,no,environmental other factors including nutrient availability climate,REF033; REF001,"(Horn et al., 2013) (Kiprotich et al., 2025)",supported
Introduction,INT_023,Plant-community context provides a complementary perspective on microbial assembly.,B,yes,no,assembly plant-community context provides complementary perspective microbial,REF023; REF024,"(Wani et al., 2025) (Kumar et al., 2023)",supported
Introduction,INT_024,"Traditional diversity metrics focus on realized richness, but dark-diversity approaches extend this framework by considering taxa that are absent locally despite being members of the regional species pool.",B,yes,no,diversity species pool traditional metrics focus realized,REF034; REF035,"(Rosa et al., 2024) (Liu et al., 2022)",supported
Introduction,INT_026,"Together, these metrics offer a means of evaluating whether microbial community organization is associated primarily with realized plant diversity or with broader constraints related to species pools and community assembly processes.",B,yes,no,plant diversity species assembly together metrics offer means,REF036; REF037,"(Zhang et al., 2025) (Doni et al., 2026)",supported
Introduction,INT_032,"We hypothesized that (1) bacterial-fungal communities would exhibit the strongest overall coupling, reflecting their shared ecological functions and responses to rhizosphere processes; (2) environmental filtering, particularly soil pH, would explain a substantial fraction of cross-domain concordance; and (3) AMF-linked associations would show greater sensitivity to plant-community context than would be predicted from coupling strength alone.",B,yes,no,coupling rhizosphere environmental filtering soil hypothesized bacterial-fungal,REF011; REF038,"(Wang et al., 2024) (Ledger et al., 2026)",supported
Methods,MET_004,Plant community data and derived plant-diversity metrics were taken from Pärtel et al.,B,yes,no,plant data derived plant-diversity metrics taken rtel,REF039; REF040,"(Cawse-Nicholson et al., 2025) (Dunn et al., 2021)",supported
Methods,MET_007,"Vegetation-side predictors included local plant richness, plant dark diversity (absent species that can potentially inhabit the study site), plant species pool size (local plant richness plus dark diversity), and plant community completeness (the percentage of local plant richness from species pool size).",B,yes,no,plant dark diversity species pool,REF041; REF042,"(Wang et al., 2026) (Wan et al., 2025)",supported
Methods,MET_008,Local observed plant richness was recorded by experienced botanists.,B,yes,no,plant local observed richness recorded experienced botanists,REF028; REF043,"(Schrader et al., 2019) (Mai et al., 2024)",supported
Methods,MET_009,Dark diversity was estimated from species co-occurrence patterns within each region using 30 similar vegetation plots and dark-diversity probabilities for species absent from the focal site but present regionally.,B,yes,no,dark diversity species estimated,REF044; REF045,"(Riibak et al., 2024) (Szoszkiewicz et al., 2021)",supported
Methods,MET_012,"Pairwise cross-domain analyses included BAC↔ITS, EUK↔ITS, AMF↔ITS, AMF↔EUK, BAC↔AMF, and BAC↔EUK, all evaluated on the same matched sample set.",B,yes,no,pairwise cross-domain analyses included evaluated same matched sample,REF046; REF047,"(Krantz et al., 2019) (Olsen et al., 2024)",supported
Methods,MET_013,"For cross-layer comparability, subsequent environmental-driver and plant-diversity analyses were restricted to the four pairings retained in Phases 5B–5D (BAC↔ITS, EUK↔ITS, AMF↔ITS, AMF↔EUK), and integrated synthesis used this common subset across all analytical phases.",B,yes,no,cross-layer comparability subsequent environmental-driver plant-diversity analyses restricted four,REF048; REF049,"(Kermavnar et al., 2021) (Senior et al., 2018)",supported
Methods,MET_022,Cross-domain coupling was quantified using two complementary statistics: Mantel Spearman correlation for concordance among inter-sample distance matrices and Procrustes analysis for geometric alignment between paired ordination configurations.,B,yes,no,coupling mantel procrustes cross-domain quantified using complementary,REF050,"(Faquim et al., 2021)",supported
Methods,MET_023,"Mantel inference used 999 permutations, and Procrustes uncertainty was summarized from 120 bootstrap replicates with percentile intervals (2.5th and 97.5th percentiles).",B,yes,no,mantel procrustes inference used permutations uncertainty,REF051; REF052,"(Cui et al., 2017) (Charria-Girón et al., 2026)",supported
Methods,MET_024,"Because Mantel and Procrustes capture different facets of correspondence, both were reported separately and jointly through an integrated coupling score defined as the mean of Mantel correlation and Procrustes similarity.",B,yes,no,mantel procrustes coupling capture,REF053; REF054,"(Cleemput et al., 2019) (Menéndez et al., 2025)",supported
Methods,MET_025,"In this formulation, Mantel describes matrix-level concordance, whereas Procrustes describes alignment of multivariate spatial structure; averaging the two provides a descriptive synthesis metric and comparative integration aid when both rank-order and geometric agreement are of interest.",B,yes,no,mantel procrustes formulation describes matrix-level concordance whereas,REF050; REF055,"(Faquim et al., 2021) (Shankar et al., 2017)",supported
Methods,MET_027,"Environmental predictor selection was hypothesis-driven and focused on variables expected to influence microbial assembly across domains, including soil pH (pH_KCl), soil nitrogen content (N_pct), and annual precipitation (bio12).",B,yes,no,environmental assembly soil predictor selection hypothesis-driven,REF056; REF057,"(Marasco et al., 2018) (Yan et al., 2025)",supported
Methods,MET_029,Distance-based redundancy analysis (dbRDA) was fitted for each pair×representation combination at the default prevalence threshold of 0.05 with 999 permutations.,B,yes,no,dbrda distance-based redundancy analysis fitted each pair,REF055; REF058,"(Shankar et al., 2017) (Mo et al., 2018)",supported
Methods,MET_032,"To evaluate whether plant diversity explained variation in microbial coupling beyond abiotic conditions, we compared seven a priori candidate models (A–G) against an abiotic baseline model.",B,yes,no,plant diversity coupling evaluate whether explained,REF028; REF048,"(Schrader et al., 2019) (Kermavnar et al., 2021)",supported
Methods,MET_033,Model A included abiotic predictors only; model B added alpha diversity; model C added dark diversity; model D added species pool size; model E added community completeness; model F added alpha plus dark diversity; and model G added species pool plus completeness.,B,yes,no,diversity dark species pool,REF035; REF059,"(Liu et al., 2022) (Li et al., 2026)",supported
Methods,MET_034,"Plant-diversity hypotheses were structured to distinguish realized local diversity (alpha diversity), potentially recruitable absent taxa (dark diversity), regional species-pool context, and the extent to which local communities approach that pool (completeness).",B,yes,no,diversity dark pool plant-diversity hypotheses structured,REF060; REF061,"(Hernández-Terán et al., 2025) (Dumlupınar et al., 2026)",supported
Methods,MET_035,"Because alpha diversity, dark diversity, and species pool are mathematically related, these metrics were emphasized in separate candidate formulations rather than pooled into a single maximal model.",B,yes,no,diversity dark species pool alpha,REF059; REF061,"(Li et al., 2026) (Dumlupınar et al., 2026)",supported
Methods,MET_036,"Plant-diversity comparisons used CLR-transformed inputs (pseudocount 1×10⁻⁶), 10 ordination axes, the default prevalence threshold (0.05), and 999 permutations.",B,yes,no,plant-diversity comparisons used clr-transformed inputs pseudocount ordination axes,REF009; REF062,"(Eisenhauer et al., 2017) (Savary et al., 2017)",supported
Methods,MET_038,"To compare ecological signal layers across pair×representation combinations, we integrated three outputs: (i) coupling magnitude from Mantel-Procrustes summaries, (ii) environmental explained variation from best-performing dbRDA formulations, and (iii) added plant-diversity variation from best non-baseline plant models.",B,yes,no,coupling environmental dbrda plant compare ecological signal layers,REF063; REF048,"(Baird et al., 2019) (Kermavnar et al., 2021)",supported
Methods,MET_039,"For consistent interpretation across pairings, summaries were evaluated using descriptive thresholds (coupling strength ≥0.50, environmental adjusted R² ≥0.20, and plant-diversity Δ adjusted R² ≥0.01; low-plant criterion <0.005).",B,yes,no,coupling environmental consistent interpretation pairings summaries evaluated using,REF064; REF065,"(Yang et al., 2025) (Zheng et al., 2025)",supported
Methods,MET_043,"Procrustes uncertainty was estimated by bootstrap resampling (120 replicates), and uncertainty intervals were summarized with percentile limits (2.5th–97.5th).",B,yes,no,procrustes uncertainty estimated bootstrap resampling replicates,REF051; REF052,"(Cui et al., 2017) (Charria-Girón et al., 2026)",supported
Discussion,DIS_002,"BAC↔ITS repeatedly occupies the top tier across representations, indicating that bacterial–fungal turnover is the most coherent cross-domain axis in this dataset.",B,yes,no,bacterial fungal repeatedly occupies tier representations indicating,REF066,"(Infante et al., 2014)",supported
Discussion,DIS_003,"EUK↔ITS remains intermediate, while AMF-linked pairings tend to sit lower in absolute coupling rank but show distinct responsiveness patterns in downstream analyses.",B,yes,no,coupling remains intermediate amf-linked pairings tend lower absolute,REF067; REF065,"(Redondo et al., 2025) (Zheng et al., 2025)",supported
Discussion,DIS_006,"In that context, the BAC↔ITS dominance observed here is plausibly the signature of broad bacterial–saprotrophic/pathotrophic fungal co-responses to shared resource and edaphic gradients, while AMF-linked relationships may reflect tighter plant-mediated filtering windows.",B,yes,no,bacterial fungal filtering context dominance observed here plausibly,REF068; REF069,"(Zappelini et al., 2015) (Carpenter et al., 2021)",supported
Discussion,DIS_007,"The environmental layer indicates substantial deterministic structure, with pH-centered predictor contributions recurring across pair-representation combinations.",B,yes,no,environmental deterministic layer indicates substantial structure,REF070; REF071,"(He et al., 2025) (Wang et al., 2024)",supported
Discussion,DIS_008,"Taken together with the dbRDA profiles, this supports an interpretation in which environmental filtering is not a background effect but a first-order organizer of cross-domain community geometry.",B,yes,no,dbrda environmental filtering taken together profiles supports,REF072; REF073,"(Harcourt et al., 2023) (Assis et al., 2026)",supported
Discussion,DIS_010,"This is aligned with microbial assembly literature showing that deterministic filtering can dominate when strong environmental gradients are present, even when dispersal and biotic contingencies remain active (Menéndez-Serra et al., 2023).",B,yes,yes,assembly deterministic filtering environmental aligned microbial literature,REF074; REF057,"(Li et al., 2025) (Yan et al., 2025)",supported
Discussion,DIS_011,"It also aligns with rhizosphere and soil studies reporting pH-linked compositional turnover across multiple microbial groups (Fu et al., 2023).",B,yes,yes,rhizosphere soil compositional also aligns studies,REF075; REF076,"(Xu et al., 2024) (Li et al., 2023)",supported
Discussion,DIS_012,"Our results therefore fit a conservative ecological reading: deterministic environmental sorting defines most of the large-scale cross-domain scaffold, and other influences are superimposed on that scaffold rather than replacing it.",B,yes,no,deterministic environmental results therefore conservative ecological reading,REF003; REF002,"(Riddley et al., 2025) (Luan et al., 2020)",supported
Discussion,DIS_013,"Relative to the abiotic layer, plant-diversity increments are smaller on average, but they are consistently positive for the strongest hypotheses and non-randomly distributed across domain pairs.",B,yes,no,relative abiotic layer plant-diversity increments smaller average they,REF048; REF077,"(Kermavnar et al., 2021) (Kutnar et al., 2026)",supported
Discussion,DIS_015,"AMF-linked relationships show disproportionate responsiveness to plant-diversity framing, whereas BAC↔ITS remains strongest overall in coupling and environmental structure.",B,yes,no,coupling environmental amf-linked relationships show disproportionate responsiveness plant-diversity,REF033; REF048,"(Horn et al., 2013) (Kermavnar et al., 2021)",supported
Discussion,DIS_017,AMF are positioned at a direct plant–soil interface and are therefore expected to track plant composition and host-related filtering more closely than many free-living bacterial–fungal components.,B,yes,no,plant soil filtering bacterial fungal positioned direct,REF011; REF009,"(Wang et al., 2024) (Eisenhauer et al., 2017)",supported
Discussion,DIS_018,"Recent cross-domain and AMF-hyphosphere work supports this view, showing that AMF-associated compartments can concentrate interaction structure and resource-mediated linkages among microbial groups (Nuccio et al., 2022; Camenzind et al., 2018).",B,yes,yes,recent cross-domain amf-hyphosphere work supports view showing amf-associated,REF027; REF008,"(Veres et al., 2023) (Wang et al., 2024)",supported
Discussion,DIS_019,"Under this interpretation, plant-diversity signals in our synthesis are neither noise nor dominant drivers; they are targeted modifiers superimposed on stronger abiotic organization.",B,yes,no,under interpretation plant-diversity signals synthesis neither noise dominant,REF048; REF078,"(Kermavnar et al., 2021) (Gallinat et al., 2021)",supported
Discussion,DIS_025,"The results are most consistent with a deterministic-leaning assembly regime at the analyzed scale, with stochasticity and contingency still contributing to residual variation.",B,yes,no,assembly results most consistent deterministic-leaning regime analyzed,REF002; REF079,"(Luan et al., 2020) (Li et al., 2026)",supported
Discussion,DIS_026,"This balance is critical: deterministic dominance in variance-structure metrics does not imply a fully predictable system, only that environmental constraints explain a substantial fraction of observed organization.",B,yes,no,deterministic environmental balance critical dominance variance-structure metrics,REF080; REF081,"(Chen et al., 2025) (Chen et al., 2026)",supported
Discussion,DIS_028,"It is useful for comparing relative signal strength across coupling, environmental structuring, and plant-diversity increments, but it does not by itself identify causal pathways.",B,yes,no,coupling environmental useful comparing relative signal strength,REF048; REF063,"(Kermavnar et al., 2021) (Baird et al., 2019)",supported
Discussion,DIS_032,"Within those boundaries, the core story is stable and ecologically interpretable: BAC↔ITS provides the strongest shared compositional axis; pH-centered environmental filtering provides the dominant organizing gradient; plant-diversity effects are modest but structured; and AMF-linked pairings contribute disproportionate plant-responsive sensitivity.",B,yes,no,compositional environmental filtering those boundaries core story stable,REF082; REF083,"(Nyashina et al., 2018) (Loomis, 1975)",supported
