ref_id,title,authors,year,venue,citation_count,doi,url,source,topic,apa_reference,abstract_excerpt
REF011,Altitudinal decline of vegetation restoration effects on soil microbial communities on high-altitude road side slops: Environmental drivers and management implications.,Min Wang; Mao Lin; Qinghua Liu; Yan Zhang; Ruyi Luo; Xueyong Pang,2024,,11,10.1016/j.scitotenv.2024.177424,https://www.semanticscholar.org/paper/1445bcc32252bdd7ba8e3da609310c263bcc7d01,sentence_retry,,Min Wang; Mao Lin; Qinghua Liu; Yan Zhang; Ruyi Luo; Xueyong Pang (2024). Altitudinal decline of vegetation restoration effects on soil microbial communities on high-altitude road side slops: Environmental drivers and management implications.. https://doi.org/10.1016/j.scitotenv.2024.177424,"Construction activities in high-altitude regions have left many bare roadside slopes vulnerable to degradation, complicating restoration efforts. Soil microorganisms are vital for plant growth and nutrient cycling, yet their responses to restoration efforts at various altitudes remains uncertain. This study investigates soil microbial composition, network properties, ecological functions, keystone taxa, and environmental drivers across three restored vegetation types: herbaceous plants (H), shru"
REF012,Secretion Systems Used by Bacteria to Counteract Fungal Competitors,Peishuai Fu; Liya Zhang; Xiaofang Ma; Xihui Shen; Lingfang Zhu; Changfu Li,2026,,,10.3390/biology15090676,https://www.semanticscholar.org/paper/8beebe0e47b912ec5483f9aa303dd4c2bc93612d,sentence_retry,,Peishuai Fu; Liya Zhang; Xiaofang Ma; Xihui Shen; Lingfang Zhu; Changfu Li (2026). Secretion Systems Used by Bacteria to Counteract Fungal Competitors. https://doi.org/10.3390/biology15090676,"Simple Summary This review systematically summarizes the functions of type I-XI bacterial secretion systems in antifungal competition. We propose that bacterial antifungal strategies operate at two complementary levels: direct fungicidal attack, via effector-mediated disruption of cellular integrity, and ecological competition, through nutrient competition, physical niche occupation, and coordinated population-level activities. However, the current understanding of these mechanisms remains limit"
REF013,Responses of soil fungal taxonomic attributes and enzyme activities to copper and cadmium co-contamination in paddy soils.,Y. Guo; Shulan Cheng; H. Fang; Yan Yang; Yuna Li; Yi Zhou,2022,,33,10.1016/j.scitotenv.2022.157119,https://www.semanticscholar.org/paper/c1ad1fde7be6ea9d89b609360ab82c63fbcb2bae,sentence_retry,,Y. Guo; Shulan Cheng; H. Fang; Yan Yang; Yuna Li; Yi Zhou (2022). Responses of soil fungal taxonomic attributes and enzyme activities to copper and cadmium co-contamination in paddy soils.. https://doi.org/10.1016/j.scitotenv.2022.157119,"Excess heavy metals, especially copper (Cu) and cadmium (Cd), are common in paddy soils in the red soil hilly areas of southern China. Microorganisms are regulators of soil organic matter accumulation and pollutant transformation. Clarifying the effects of Cu and Cd accumulation on microbial community composition and function is a prerequisite for bioremediation of paddy soil contamination. However, it remains unclear how Cu and Cd contamination affects soil fungal taxonomic attributes and micro"
REF014,Maize/soybean intercropping facilitated phosphorus solubilization via shifted and synergistic arbuscular mycorrhizal fungal and bacterial communities in red soil,Ling Qian; Li Tang; Jingxiu Xiao; Lili Mao; Ping Lv; Faming Zhang; Yi Zheng,2025,,2,10.3389/fpls.2025.1638043,https://www.semanticscholar.org/paper/74eb591328d644dda7621272436d0431bdb7ea20,sentence_retry,,Ling Qian; Li Tang; Jingxiu Xiao; Lili Mao; Ping Lv; Faming Zhang; Yi Zheng (2025). Maize/soybean intercropping facilitated phosphorus solubilization via shifted and synergistic arbuscular mycorrhizal fungal and bacterial communities in red soil. https://doi.org/10.3389/fpls.2025.1638043,"Introduction Arbuscular mycorrhizal fungi (AMF) are key regulators of phosphorus (P) cycling in agricultural systems. However, under intercropping conditions, the mechanisms through which AMF hyphae and spores recruit specific bacterial taxa and synergistically solubilize insoluble P in red soils remain poorly understood. Methods Through a greenhouse pot experiment, we investigated how the symbiotic relationship between AMF and crops varies across a gradient of P fertilizer levels (P0 to P250). "
REF015,Arbuscular Mycorrhizal Fungi as Core Engineers in Synthetic Microbial Communities: Boosting Plant Growth and Soil Health for Sustainable Agriculture,Yinan Zeng; Yan Wang; Xueli Wang; Xuemin Jing; Xiangyang Shu; Ping Ren; Weijia Liu; Qinxin Ye,2025,,5,10.3390/jof11110769,https://www.semanticscholar.org/paper/579385dc97a7657df404fb1b94d4dd79084202b1,sentence_retry,,Yinan Zeng; Yan Wang; Xueli Wang; Xuemin Jing; Xiangyang Shu; Ping Ren; Weijia Liu; Qinxin Ye (2025). Arbuscular Mycorrhizal Fungi as Core Engineers in Synthetic Microbial Communities: Boosting Plant Growth and Soil Health for Sustainable Agriculture. https://doi.org/10.3390/jof11110769,"Bacterial synthetic microbial communities (SynCom) have exhibited significant effects for enhancing plant growth and delivering ecological benefits. However, persistent challenges, including structural instability, limited environmental adaptability, and transient efficacy, remain critical barriers to their practical application. Herein, we propose Arbuscular Mycorrhizal fungi (AMF) as the keystone component to optimize SynCom’s ecological fitness in sustainable agricultural systems. AMF modulat"
REF016,Biological defence against cadmium stress in wheat with arbuscular mycorrhizal fungi and Trichoderma: Synergistic effects on plant and soil health.,Gökhan Boyno,2025,,3,10.1016/j.plaphy.2025.110470,https://www.semanticscholar.org/paper/66215b989a32558c0cf1144f5b39878fc9c18290,sentence_retry,,Gökhan Boyno (2025). Biological defence against cadmium stress in wheat with arbuscular mycorrhizal fungi and Trichoderma: Synergistic effects on plant and soil health.. https://doi.org/10.1016/j.plaphy.2025.110470,"Cadmium (Cd) contamination in agricultural soils presents a serious threat to crop productivity, soil health, and ecological sustainability. This study aims to elucidate the synergistic potential of two beneficial microorganisms-Funneliformis mosseae (Fm), an arbuscular mycorrhizal fungus (AMF), and Trichoderma harzianum (Th)-in mitigating Cd-stress in wheat (Triticum aestivum L.) under controlled conditions. Unlike previous studies that examined these microorganisms individually, this research "
REF017,How mycorrhizal associations drive plant population and community biology,L. Tedersoo; M. Bahram; M. Zobel,2020,,764,10.1126/science.aba1223,https://www.semanticscholar.org/paper/589b3f9e5c648eb1a1cc3c96478deaedcc4fd6e6,sentence_retry,,L. Tedersoo; M. Bahram; M. Zobel (2020). How mycorrhizal associations drive plant population and community biology. https://doi.org/10.1126/science.aba1223,"The pervasive power of mycorrhizas Associations between plants and symbiotic fungi—mycorrhizas—are ubiquitous in plant communities. Tedersoo et al. review recent developments in mycorrhizal research, revealing the complex and pervasive nature of this largely invisible interaction. Complex networks of mycorrhizal hyphae connect the root systems of individual plants, regulating nutrient flow and competitive interactions between and within plant species, controlling seedling establishment, and ulti"
REF018,Transcriptomics reveals the mechanism of branching production in response to GR24 in A. gallica 541,Liu Liu; Bing Li; Shoujian Li; Youyan Liu; Lingfeng Zhou; Shunxing Guo,2025,,,10.1038/s41598-025-09015-w,https://www.semanticscholar.org/paper/c86add0fab1a267869c7241ddf8183a1ce8bd62f,sentence_retry,,Liu Liu; Bing Li; Shoujian Li; Youyan Liu; Lingfeng Zhou; Shunxing Guo (2025). Transcriptomics reveals the mechanism of branching production in response to GR24 in A. gallica 541. https://doi.org/10.1038/s41598-025-09015-w,"Rhizomorphs are specialized structures formed by the intertwining of mycelia in Armillaria and certain other basidiomycete fungi. The growth and branching of rhizomorphs are essential for nutrient acquisition, host colonization, and environmental adaptation in fungi. Strigolactones (SLs), a class of plant-derived signaling molecules, are well known for their role in promoting hyphal germination and branching in arbuscular mycorrhizal (AM) fungi. Studies suggest that GR24, an SL analogue, may als"
REF019,Plant species identity and plant-induced changes in soil physicochemistry—but not plant phylogeny or functional traits - shape the assembly of the root-associated soil microbiome,Alexa-Kate Byers; L. Condron; Maureen O'Callaghan; L. Waller; Ian A. Dickie; Steve A Wakelin,2023,FEMS Microbiology Ecology,12,10.1093/femsec/fiad126,https://www.semanticscholar.org/paper/2df7698cd20ca49b22cdaaccfcd0ae2d4daa8495,sentence_work,,Alexa-Kate Byers; L. Condron; Maureen O'Callaghan; L. Waller; Ian A. Dickie; Steve A Wakelin (2023). Plant species identity and plant-induced changes in soil physicochemistry—but not plant phylogeny or functional traits - shape the assembly of the root-associated soil microbiome. FEMS Microbiology Ecology. https://doi.org/10.1093/femsec/fiad126,"Abstract The root-associated soil microbiome contributes immensely to support plant health and performance against abiotic and biotic stressors. Understanding the processes that shape microbial assembly in root-associated soils is of interest in microbial ecology and plant health research. In this study, 37 plant species were grown in the same soil mixture for 10 months, whereupon the root-associated soil microbiome was assessed using amplicon sequencing. From this, the contribution of direct an"
REF020,"Between‐ versus within‐species variation in plant–soil feedback relates to different functional traits, but exudate variability is involved at both scales",Youssef Yacine; Eliška Kuťáková; Dina in ‘t Zandt; V. Hadincová; Jaroslav Semerád; Tomáš Cajthaml; Zuzana Münzbergová,2024,Functional Ecology,7,10.1111/1365-2435.14548,https://www.semanticscholar.org/paper/e7551e9cd4ec0d9655541eb39690769bd5890c92,sentence_work,,"Youssef Yacine; Eliška Kuťáková; Dina in ‘t Zandt; V. Hadincová; Jaroslav Semerád; Tomáš Cajthaml; Zuzana Münzbergová (2024). Between‐ versus within‐species variation in plant–soil feedback relates to different functional traits, but exudate variability is involved at both scales. Functional Ecology. https://doi.org/10.1111/1365-2435.14548","Plant–soil feedback—feedback from plant‐induced changes in soil properties to plant fitness—is increasingly shown to drive the maintenance of local plant diversity at both interspecific and intraspecific levels. A robust understanding of the relationships between plant–soil feedback and functional plant traits, which would improve our ability to generalize plant–soil feedback results beyond specific study systems, is, however, still lacking. This is especially true at the intraspecific plant lev"
REF021,Fungal-bacterial consortia: A promising strategy for the removal of petroleum hydrocarbons.,Zeinab Rezaei; Hamid Moghimi,2024,,47,10.1016/j.ecoenv.2024.116543,https://www.semanticscholar.org/paper/bdba3bda98a056caf47a806bd7ee4e60f9f33e32,sentence_retry,,Zeinab Rezaei; Hamid Moghimi (2024). Fungal-bacterial consortia: A promising strategy for the removal of petroleum hydrocarbons.. https://doi.org/10.1016/j.ecoenv.2024.116543,"Nowadays, petroleum hydrocarbon pollution is one of the most widespread types of contamination that poses a serious threat to both public health and the environment. Among various physicochemical methods, bioremediation is an eco-friendly and cost-effective way to eliminate petroleum hydrocarbon pollutants. The successful degradation of all hydrocarbon components and the achievement of optimal efficiency are necessary for the success of this process. Using potential microbial consortia with rich"
REF022,Enhancing bacterial biodegradation of n-hexane by utilizing the adsorption capacity of non-degrading fungi.,Aobo Chen; Chenjie Wang; Zhuowei Cheng; C. Kennes; Songkai Qiu; Jianmeng Chen,2024,,4,10.1016/j.chemosphere.2024.142900,https://www.semanticscholar.org/paper/64d2d10cd34e5507feabb7f957528e5ba3cea14d,sentence_retry,,Aobo Chen; Chenjie Wang; Zhuowei Cheng; C. Kennes; Songkai Qiu; Jianmeng Chen (2024). Enhancing bacterial biodegradation of n-hexane by utilizing the adsorption capacity of non-degrading fungi.. https://doi.org/10.1016/j.chemosphere.2024.142900,"Biodegradation of hydrophobic volatile organic compounds (VOCs) such as n-hexane is limited by their poor accessibility. Constructing fungal-bacterial degradation alliances is an effective approach, but the role of those fungi without the capability to degrade VOCs may have been overlooked. In this study, a non-n-hexane-degrading fungus, Fusarium keratoplasticum FK, was utilized to enhance n-hexane degradation by the bacterium Mycobacterium neworleansense WCJ. It was shown that strain WCJ remove"
REF023,"Metagenomics and plant-microbe symbioses: Microbial community dynamics, functional roles in carbon sequestration, nitrogen transformation, sulfur and phosphorus mobilization for sustainable soil health.",A. K. Wani; Fayzan Qadir; Noureddine Elboughdiri; Farida Rahayu; Saefudin; D. Pranowo; C. Martasari; M. Kosmiatin,2025,Biotechnology Advances,32,10.1016/j.biotechadv.2025.108580,https://www.semanticscholar.org/paper/40b8936e5a23c2a2fb1a813d050dfd7a86c7c0de,sentence_work,,"A. K. Wani; Fayzan Qadir; Noureddine Elboughdiri; Farida Rahayu; Saefudin; D. Pranowo; C. Martasari; M. Kosmiatin (2025). Metagenomics and plant-microbe symbioses: Microbial community dynamics, functional roles in carbon sequestration, nitrogen transformation, sulfur and phosphorus mobilization for sustainable soil health.. Biotechnology Advances. https://doi.org/10.1016/j.biotechadv.2025.108580","Biogeochemical cycles are fundamental processes that regulate the flow of essential elements such as carbon, nitrogen, and phosphorus, sustaining ecosystem productivity and global biogeochemical equilibrium. These cycles are intricately influenced by plant-microbe symbioses, which facilitate nutrient acquisition, organic matter decomposition, and the transformation of soil nutrients. Through mutualistic interactions, plants and microbes co-regulate nutrient availability and promote ecosystem res"
REF024,"Revealing the seed microbiome: Navigating sequencing tools, microbial assembly, and functions to amplify plant fitness.",Ajay Kumar; Manoj Kumar Solanki; Zhen Wang; Anjali Chandrol Solanki; V. Singh; Praveen Kumar Divvela,2023,Microbiology Research,13,10.1016/j.micres.2023.127549,https://www.semanticscholar.org/paper/82b82959476de8bf6d0ddfe87c282a0b5e05e389,sentence_work,,"Ajay Kumar; Manoj Kumar Solanki; Zhen Wang; Anjali Chandrol Solanki; V. Singh; Praveen Kumar Divvela (2023). Revealing the seed microbiome: Navigating sequencing tools, microbial assembly, and functions to amplify plant fitness.. Microbiology Research. https://doi.org/10.1016/j.micres.2023.127549","Microbial communities within seeds play a vital role in transmitting themselves to the next generation of plants. These microorganisms significantly impact seed vigor and early seedling growth, for successful crop establishment. Previous studies reported on seed-associated microbial communities and their influence on processes like dormancy release, germination, and disease protection. Modern sequencing and conventional methods reveal microbial community structures and environmental impacts, the"
REF025,Microbial demethylation of lignin: Evidence of enzymes participating in the removal of methyl/methoxyl groups.,Balaji Venkatesagowda; R. F. Dekker,2021,,50,10.1016/J.ENZMICTEC.2021.109780,https://www.semanticscholar.org/paper/7f25df716b5d1369cf888815f6403bfc7850b9f4,sentence_retry,,Balaji Venkatesagowda; R. F. Dekker (2021). Microbial demethylation of lignin: Evidence of enzymes participating in the removal of methyl/methoxyl groups.. https://doi.org/10.1016/J.ENZMICTEC.2021.109780,"Lignin is an abundant natural plant aromatic biopolymer containing various functional groups that can be exploited for activating lignin for potential commercial applications. Applications are hindered due to the presence of a high content of methyl/methoxyl groups that affects reactiveness. Various chemical and enzymatic approaches have been investigated to increase the functionality in transforming lignin. Among these is demethylation/demethoxylation, which increases the potential numbers of v"
REF026,"16S rRNA gene‐based meta‐analysis of the reptile gut microbiota reveals environmental effects, host influences and a limited core microbiota",C. Hoffbeck; Danielle Middleton; Nicola J Nelson; M. Taylor,2023,,28,10.1111/mec.17153,https://www.semanticscholar.org/paper/d7b0c08556c45eaf47f1029b900a269adaf245b6,sentence_retry,,"C. Hoffbeck; Danielle Middleton; Nicola J Nelson; M. Taylor (2023). 16S rRNA gene‐based meta‐analysis of the reptile gut microbiota reveals environmental effects, host influences and a limited core microbiota. https://doi.org/10.1111/mec.17153","An animal's gut microbiota plays an important role in host health, reproduction and digestion. However, many studies focus on only a few individuals or a single species, limiting our ability to recognize emergent patterns across a wider taxonomic grouping. Here, we compiled and reanalysed published 16S rRNA gene sequence data for 745 gut microbiota samples from 91 reptile species using a uniform bioinformatics pipeline to draw broader conclusions about the taxonomy of the reptile gut microbiota "
REF027,No evidence for phylogenetic structure or environmental filtering of springtail microbiomes,Róbert Veres; Juliane Romahn; Clément Schneider; Miklós Bálint,2023,,,10.1101/2023.09.13.557512,https://www.semanticscholar.org/paper/259802c17fec18d92ab90f89b08b5571161e1e08,sentence_retry,,Róbert Veres; Juliane Romahn; Clément Schneider; Miklós Bálint (2023). No evidence for phylogenetic structure or environmental filtering of springtail microbiomes. https://doi.org/10.1101/2023.09.13.557512,"Microorganisms play crucial roles in the lives of metazoans and can significantly impact host fitness. However, recent evidence suggests that many species may lack microorganisms that are positively associated with host fitness. Assessing the prevalence of host-specific microbiomes in animals has proven challenging due to limited studies in most higher taxa, with most investigations focusing on microbes in mammals, cephalopods, fish, and corals. This knowledge gap extends to springtails (Arthrop"
REF028,Requirements of plant species are linked to area and determine species pool and richness on small islands,Julian Schrader; C. König; S. Moeljono; M. Pärtel; H. Kreft,2019,,16,10.1111/JVS.12758,https://www.semanticscholar.org/paper/0b265a212432e18f9d98208dca74baf0855e75ad,sentence_retry,,Julian Schrader; C. König; S. Moeljono; M. Pärtel; H. Kreft (2019). Requirements of plant species are linked to area and determine species pool and richness on small islands. https://doi.org/10.1111/JVS.12758,"QUESTIONS: Small islands are outstanding model systems to study community assembly. Due to harsher environmental conditions on smaller islands compared to larger ones, environmental filtering may preclude some species, potentially resulting in island size‐dependent species pools. We tested whether the species pool size follows a similar species–area relationship as the observed richness. This can provide new insight into community assembly processes and the elusive small‐island effect (SIE), whi"
REF029,Arthropod community composition in urban landscapes is shaped by both environmental filtering and dispersal limitation,Indigo R. Roper-Edwards; A. Hurlbert,2024,bioRxiv,4,10.1371/journal.pone.0297507,https://www.semanticscholar.org/paper/64e8a52ead17bc405e9e13418681d37f2aa62b6a,topic_search,fungal filtering,Indigo R. Roper-Edwards; A. Hurlbert (2024). Arthropod community composition in urban landscapes is shaped by both environmental filtering and dispersal limitation. bioRxiv. https://doi.org/10.1371/journal.pone.0297507,"We assessed the relative importance of environmental filtering and dispersal limitation in structuring foliage- and ground-dwelling arthropod communities in central North Carolina. We hypothesized that both the local environment and the dispersal distance between sites would predict community composition, but that dispersal distance would be more important for ground arthropods than for foliage arthropods. In both groups, variation in habitat characteristics was important in structuring communit"
REF030,"Land use types and soil pH co-mediate bacterial community assembly processes: Application of the neutral community model and null model to determine stochastic and deterministic processes in a subtropical basin, China",Jinquan Huang; Yujie Qi; Die Chen; Jigen Liu; Li Li; Wenjie Zhang; Xiaolan Liu; Weiwen Li,2025,Ecological Indicators,8,10.1016/j.ecolind.2025.113561,https://www.semanticscholar.org/paper/0de3500c48173c07c7676af91ca30e46df73915d,sentence_work,,"Jinquan Huang; Yujie Qi; Die Chen; Jigen Liu; Li Li; Wenjie Zhang; Xiaolan Liu; Weiwen Li (2025). Land use types and soil pH co-mediate bacterial community assembly processes: Application of the neutral community model and null model to determine stochastic and deterministic processes in a subtropical basin, China. Ecological Indicators. https://doi.org/10.1016/j.ecolind.2025.113561",
REF031,"Long-term effects of biochar one-off application on soil physicochemical properties, salt concentration, nutrient availability, enzyme activity, and rice yield of highly saline-alkali paddy soils: based on a 6-year field experiment",Feng Jin; Junlong Piao; Shihao Miao; Weikang Che; X. Li; Xuebin Li; T. Shiraiwa; Tomoyuki Tanaka,2024,,87,10.1007/s42773-024-00332-3,https://www.semanticscholar.org/paper/1704a612593f49013342e9ed0e3e1c93c8ea2585,sentence_retry,,"Feng Jin; Junlong Piao; Shihao Miao; Weikang Che; X. Li; Xuebin Li; T. Shiraiwa; Tomoyuki Tanaka (2024). Long-term effects of biochar one-off application on soil physicochemical properties, salt concentration, nutrient availability, enzyme activity, and rice yield of highly saline-alkali paddy soils: based on a 6-year field experiment. https://doi.org/10.1007/s42773-024-00332-3","A long-term (6-year), one-off application of biochar was conducted in a highly saline-alkali paddy field. Biochar consistently decreased soil BD, increased Tp, Ks , and improved soil aggregates. Biochar showed a sustained ability to alleviate saline-alkali stress. The continuous improvement of soil functions acted on the increase of rice yield. Biochar application can alleviate the adverse effects of saline-alkali stress on crops. However, the long-term effects of one-off biochar application on "
